index,season,matchday,h_team,a_team,h_goals,a_goals,h_ht_goals,a_ht_goals,h_shots_on_goal,a_shots_on_goal,h_distance,a_distance,h_total_passes,a_total_passes,h_success_passes,a_success_passes,h_failed_passes,a_failed_passes,h_pass_ratio,a_pass_ratio,h_possession,a_possession,h_tackle_ratio,a_tackle_ratio,h_fouls,a_fouls,h_got_fouled,a_got_fouled,h_offside,a_offside,h_corners,a_corners
1144,16-17,26,Hertha BSC,TSG Hoffenheim,1,3,1,1,5,28,103.49,109.05,353,621,280,557,73,64,0.79,0.9,0.36,0.64,0.55,0.45,18,13,13,16,1,1,0,8
1145,16-17,26,Bayern München,FC Augsburg,6,0,2,0,21,6,111.56,111.62,822,284,742,204,80,80,0.9,0.72,0.74,0.26,0.57,0.43,6,9,8,6,3,1,5,1
1146,16-17,26,FC Schalke 04,Borussia Dortmund,1,1,0,0,9,7,111.56,112.7,368,502,286,407,82,95,0.78,0.81,0.43,0.57,0.45,0.55,13,17,16,13,6,2,9,4
1147,16-17,26,Hamburger SV,1. FC Köln,2,1,1,1,14,7,109.23,107.33,379,354,236,223,143,131,0.62,0.63,0.52,0.48,0.45,0.55,19,13,13,18,4,2,5,1
1148,16-17,26,SC Freiburg,Werder Bremen,2,5,0,2,13,11,115.39,112.79,625,306,530,224,95,82,0.85,0.73,0.67,0.33,0.59,0.41,9,14,14,9,1,2,5,5
1149,16-17,26,RB Leipzig,SV Darmstadt 98,4,0,1,0,25,11,108.03,105.68,531,349,439,251,92,98,0.83,0.72,0.6,0.4,0.52,0.48,12,15,15,11,3,2,10,4
1150,16-17,26,Eintracht Frankfurt,Bor. Mönchengladbach,0,0,0,0,15,6,112.81,112.87,569,347,486,254,83,93,0.85,0.73,0.63,0.37,0.4,0.6,13,12,11,13,1,2,10,1
1151,16-17,26,FC Ingolstadt 04,1. FSV Mainz 05,2,1,1,0,12,11,110.96,112.58,278,350,170,261,108,89,0.61,0.75,0.44,0.56,0.56,0.44,25,26,25,25,3,3,4,4
1152,16-17,26,Bayer 04 Leverkusen,VfL Wolfsburg,3,3,1,0,8,18,113.56,116.18,326,417,234,314,92,103,0.72,0.75,0.43,0.57,0.5,0.5,18,14,14,17,1,1,2,10
1153,16-17,27,Borussia Dortmund,Hamburger SV,3,0,1,0,17,16,115.47,116.77,594,371,503,279,91,92,0.85,0.75,0.61,0.39,0.52,0.48,6,12,10,6,1,2,6,4
1154,16-17,27,1. FC Köln,Eintracht Frankfurt,1,0,0,0,5,12,117.02,118.57,313,558,218,465,95,93,0.7,0.83,0.36,0.64,0.55,0.45,11,20,18,11,4,1,0,5
1155,16-17,27,Werder Bremen,FC Schalke 04,3,0,1,0,11,15,120.73,119.67,389,573,285,484,104,89,0.73,0.84,0.4,0.6,0.6,0.4,9,19,18,8,0,2,4,3
1156,16-17,27,TSG Hoffenheim,Bayern München,1,0,1,0,14,21,122.9,113.2,339,587,258,496,81,91,0.76,0.84,0.36,0.64,0.38,0.62,17,12,10,17,4,1,7,9
1157,16-17,27,Bor. Mönchengladbach,Hertha BSC,1,0,1,0,22,12,120.06,118.2,654,432,575,323,79,109,0.88,0.75,0.6,0.4,0.58,0.42,12,12,12,12,0,2,8,4
1158,16-17,27,1. FSV Mainz 05,RB Leipzig,2,3,0,0,18,15,110.76,112.49,296,416,202,314,94,102,0.68,0.75,0.43,0.57,0.42,0.58,16,20,19,15,3,2,8,3
1159,16-17,27,VfL Wolfsburg,SC Freiburg,0,1,0,0,17,16,116.33,121.75,602,321,499,208,103,113,0.83,0.65,0.66,0.34,0.57,0.43,12,16,14,11,4,2,6,3
1160,16-17,27,FC Augsburg,FC Ingolstadt 04,2,3,0,2,13,13,113.33,119.65,485,379,358,238,127,141,0.74,0.63,0.56,0.44,0.49,0.51,16,13,13,15,7,4,3,5
1161,16-17,27,SV Darmstadt 98,Bayer 04 Leverkusen,0,2,0,1,13,14,121.93,118.13,349,532,260,430,89,102,0.74,0.81,0.4,0.6,0.44,0.56,11,13,12,10,4,0,3,8
1162,16-17,28,Eintracht Frankfurt,Werder Bremen,2,2,0,2,16,8,113.63,113.66,556,344,444,233,112,111,0.8,0.68,0.62,0.38,0.41,0.59,19,8,8,19,2,3,4,1
1163,16-17,28,FC Schalke 04,VfL Wolfsburg,4,1,2,0,12,18,117.43,114.93,494,390,418,319,76,71,0.85,0.82,0.55,0.45,0.36,0.64,17,10,9,17,1,3,5,1
1164,16-17,28,1. FC Köln,Bor. Mönchengladbach,2,3,1,1,9,16,113.65,111.83,240,723,156,634,84,89,0.65,0.88,0.26,0.74,0.45,0.55,17,10,10,16,2,3,5,6
1165,16-17,28,Hamburger SV,TSG Hoffenheim,2,1,1,1,12,12,107.8,110.43,281,427,181,329,100,98,0.64,0.77,0.4,0.6,0.49,0.51,22,22,21,21,2,3,8,4
1166,16-17,28,SC Freiburg,1. FSV Mainz 05,1,0,0,0,7,9,116.06,112.5,347,494,214,348,133,146,0.62,0.7,0.41,0.59,0.5,0.5,12,14,14,12,2,4,1,6
1167,16-17,28,RB Leipzig,Bayer 04 Leverkusen,1,0,0,0,14,14,113.33,113.19,481,406,366,297,115,109,0.76,0.73,0.54,0.46,0.51,0.49,13,12,11,13,1,3,8,2
1168,16-17,28,Bayern München,Borussia Dortmund,4,1,2,1,18,9,109.81,112.69,800,323,735,260,65,63,0.92,0.8,0.71,0.29,0.57,0.43,14,10,10,13,2,0,6,3
1169,16-17,28,Hertha BSC,FC Augsburg,2,0,2,0,18,5,110.77,112.51,514,436,423,342,91,94,0.82,0.78,0.54,0.46,0.5,0.5,17,21,21,17,3,1,7,0
1170,16-17,28,FC Ingolstadt 04,SV Darmstadt 98,3,2,1,2,23,10,109.63,110.44,453,295,356,196,97,99,0.79,0.66,0.61,0.39,0.56,0.44,12,11,10,12,2,6,5,2
1171,16-17,29,Borussia Dortmund,Eintracht Frankfurt,3,1,2,1,15,9,110.4,112.92,572,302,438,187,134,115,0.77,0.62,0.65,0.35,0.62,0.38,12,23,23,12,5,6,4,1
1172,16-17,29,1. FSV Mainz 05,Hertha BSC,1,0,1,0,17,6,115.06,110.68,457,442,322,299,135,143,0.7,0.68,0.52,0.48,0.5,0.5,10,18,16,10,4,3,7,3
1173,16-17,29,VfL Wolfsburg,FC Ingolstadt 04,3,0,1,0,9,6,111.02,112.25,491,376,364,258,127,118,0.74,0.69,0.56,0.44,0.51,0.49,14,17,16,14,2,3,2,4
1174,16-17,29,FC Augsburg,1. FC Köln,2,1,2,0,7,12,114.52,112.73,297,515,184,402,113,113,0.62,0.78,0.36,0.64,0.45,0.55,19,17,16,19,0,2,2,8
1175,16-17,29,TSG Hoffenheim,Bor. Mönchengladbach,5,3,2,2,16,11,120.58,116.54,498,508,417,437,81,71,0.84,0.86,0.5,0.5,0.57,0.43,6,20,20,6,3,6,5,1
1176,16-17,29,RB Leipzig,SC Freiburg,4,0,2,0,13,11,111.58,111.48,521,426,411,299,110,127,0.79,0.7,0.55,0.45,0.44,0.56,19,13,11,17,3,1,6,0
1177,16-17,29,Bayer 04 Leverkusen,Bayern München,0,0,0,0,9,21,117.81,115.07,283,750,211,668,72,82,0.75,0.89,0.28,0.72,0.36,0.64,9,12,10,8,0,1,1,4
1178,16-17,29,Werder Bremen,Hamburger SV,2,1,1,1,13,6,116.96,118.79,471,404,332,265,139,139,0.7,0.66,0.54,0.46,0.55,0.45,13,15,15,13,0,5,4,3
1179,16-17,29,SV Darmstadt 98,FC Schalke 04,2,1,1,0,11,26,119.25,114.27,228,497,140,405,88,92,0.61,0.81,0.31,0.69,0.45,0.55,24,14,13,22,0,0,2,9
1180,16-17,30,1. FC Köln,TSG Hoffenheim,1,1,0,0,12,11,115.39,116.65,309,535,224,442,85,93,0.72,0.83,0.37,0.63,0.54,0.46,9,11,11,9,4,5,6,4
1181,16-17,30,Bayern München,1. FSV Mainz 05,2,2,1,2,20,10,114.26,124.14,754,247,646,161,108,86,0.86,0.65,0.76,0.24,0.58,0.42,5,6,5,5,1,4,14,2
1182,16-17,30,Hertha BSC,VfL Wolfsburg,1,0,0,0,14,10,115.67,115.97,491,470,388,379,103,91,0.79,0.81,0.51,0.49,0.54,0.46,10,18,18,10,1,4,5,2
1183,16-17,30,Hamburger SV,SV Darmstadt 98,1,2,0,0,13,9,114.97,116.09,392,319,281,187,111,132,0.72,0.59,0.55,0.45,0.53,0.47,14,18,18,14,1,2,9,6
1184,16-17,30,FC Ingolstadt 04,Werder Bremen,2,4,1,1,15,10,118.09,112.08,375,420,253,306,122,114,0.67,0.73,0.48,0.52,0.5,0.5,16,11,11,15,3,4,9,2
1185,16-17,30,Eintracht Frankfurt,FC Augsburg,3,1,0,1,20,10,116.81,116.75,687,247,577,140,110,107,0.84,0.57,0.74,0.26,0.47,0.53,14,8,8,13,1,3,4,2
1186,16-17,30,Bor. Mönchengladbach,Borussia Dortmund,2,3,1,1,7,12,123.55,119.88,475,601,372,500,103,101,0.78,0.83,0.45,0.55,0.55,0.45,8,13,12,8,8,2,2,4
1187,16-17,30,SC Freiburg,Bayer 04 Leverkusen,2,1,1,0,11,11,122.58,114.52,408,567,305,463,103,104,0.75,0.82,0.42,0.58,0.52,0.48,7,13,12,6,4,2,5,5
1188,16-17,30,FC Schalke 04,RB Leipzig,1,1,0,1,11,9,111.46,111.16,375,418,274,316,101,102,0.73,0.76,0.48,0.52,0.49,0.51,18,21,21,18,2,7,5,5
1189,16-17,31,Bayer 04 Leverkusen,FC Schalke 04,1,4,0,3,13,12,110.32,115.75,429,481,335,394,94,87,0.78,0.82,0.47,0.53,0.43,0.57,15,10,10,15,4,3,2,3
1190,16-17,31,Borussia Dortmund,1. FC Köln,0,0,0,0,23,5,112.61,115.59,656,263,563,176,93,87,0.86,0.67,0.72,0.28,0.56,0.44,8,12,11,7,6,6,9,0
1191,16-17,31,1. FSV Mainz 05,Bor. Mönchengladbach,1,2,0,1,17,13,114.55,116.67,449,398,339,302,110,96,0.76,0.76,0.54,0.46,0.45,0.55,9,15,15,9,6,3,8,3
1192,16-17,31,Werder Bremen,Hertha BSC,2,0,2,0,9,10,116.33,115.05,472,639,359,538,113,101,0.76,0.84,0.42,0.58,0.55,0.45,9,17,17,8,2,3,2,2
1193,16-17,31,SV Darmstadt 98,SC Freiburg,3,0,2,0,15,9,112.3,111.74,329,468,248,382,81,86,0.75,0.82,0.42,0.58,0.55,0.45,16,15,15,15,1,0,7,6
1194,16-17,31,RB Leipzig,FC Ingolstadt 04,0,0,0,0,15,6,111.13,111.56,529,250,415,126,114,124,0.78,0.5,0.68,0.32,0.53,0.47,14,16,15,14,1,3,5,3
1195,16-17,31,VfL Wolfsburg,Bayern München,0,6,0,3,7,17,110.68,107.08,381,601,301,527,80,74,0.79,0.88,0.39,0.61,0.49,0.51,12,10,10,11,4,5,4,4
1196,16-17,31,FC Augsburg,Hamburger SV,4,0,2,0,17,9,110.44,106.15,391,291,268,172,123,119,0.69,0.59,0.57,0.43,0.49,0.51,9,16,15,8,1,1,4,4
1197,16-17,31,TSG Hoffenheim,Eintracht Frankfurt,1,0,0,0,8,4,112.09,111.29,594,247,507,158,87,89,0.85,0.64,0.71,0.29,0.48,0.52,22,18,18,22,3,1,3,4
1198,16-17,32,1. FC Köln,Werder Bremen,4,3,3,2,15,11,115.6,113.86,326,569,234,471,92,98,0.72,0.83,0.37,0.63,0.5,0.5,9,10,9,9,2,1,5,1
1199,16-17,32,Bayern München,SV Darmstadt 98,1,0,1,0,23,13,108.03,112.99,597,282,530,208,67,74,0.89,0.74,0.67,0.33,0.47,0.53,10,7,7,10,3,4,13,7
1200,16-17,32,Borussia Dortmund,TSG Hoffenheim,2,1,1,0,11,10,113.82,114.99,399,557,299,473,100,84,0.75,0.85,0.42,0.58,0.54,0.46,17,11,10,17,2,10,6,2
1201,16-17,32,Bor. Mönchengladbach,FC Augsburg,1,1,0,0,18,11,113.5,114.75,615,312,537,214,78,98,0.87,0.69,0.66,0.34,0.53,0.47,8,15,14,6,4,2,3,5
1202,16-17,32,FC Ingolstadt 04,Bayer 04 Leverkusen,1,1,0,0,8,12,113.5,112.69,339,338,228,238,111,100,0.67,0.7,0.51,0.49,0.5,0.5,13,12,10,13,0,1,7,6
1203,16-17,32,Eintracht Frankfurt,VfL Wolfsburg,0,2,0,0,7,7,111.77,114.38,467,459,373,358,94,101,0.8,0.78,0.51,0.49,0.43,0.57,12,14,14,11,1,1,2,4
1204,16-17,32,Hertha BSC,RB Leipzig,1,4,0,1,6,14,110.58,114.67,444,489,309,386,135,103,0.7,0.79,0.47,0.53,0.5,0.5,15,15,14,14,0,6,3,8
1205,16-17,32,Hamburger SV,1. FSV Mainz 05,0,0,0,0,6,13,106.78,105.44,301,328,161,193,140,135,0.53,0.59,0.48,0.52,0.53,0.47,16,17,16,16,3,2,5,3
1206,16-17,32,SC Freiburg,FC Schalke 04,2,0,2,0,13,14,122.05,117.67,384,593,294,511,90,82,0.77,0.86,0.4,0.6,0.49,0.51,14,13,13,12,2,0,2,4
1207,16-17,33,Bayer 04 Leverkusen,1. FC Köln,2,2,0,1,27,7,108.3,109.36,540,290,435,179,105,111,0.81,0.62,0.66,0.34,0.49,0.51,12,12,12,10,1,2,7,3
1208,16-17,33,FC Schalke 04,Hamburger SV,1,1,1,0,12,18,113.09,114.81,396,380,279,270,117,110,0.7,0.71,0.5,0.5,0.5,0.5,14,15,14,14,2,0,5,7
1209,16-17,33,1. FSV Mainz 05,Eintracht Frankfurt,4,2,0,1,21,6,107.38,107.06,450,273,363,191,87,82,0.81,0.7,0.63,0.37,0.5,0.5,16,22,22,16,8,1,7,0
1210,16-17,33,VfL Wolfsburg,Bor. Mönchengladbach,1,1,0,1,12,14,122.22,122.35,421,544,348,459,73,85,0.83,0.84,0.43,0.57,0.55,0.45,12,12,12,12,2,0,3,7
1211,16-17,33,FC Augsburg,Borussia Dortmund,1,1,1,1,5,16,111.8,105.22,222,735,127,640,95,95,0.57,0.87,0.23,0.77,0.46,0.54,17,7,7,16,3,0,2,3
1212,16-17,33,Werder Bremen,TSG Hoffenheim,3,5,0,3,16,16,112.24,116.13,479,495,402,425,77,70,0.84,0.86,0.5,0.5,0.53,0.47,10,14,14,9,2,0,10,4
1213,16-17,33,SV Darmstadt 98,Hertha BSC,0,2,0,2,12,16,114.51,110.92,467,292,377,200,90,92,0.81,0.68,0.61,0.39,0.48,0.52,17,14,14,16,5,1,4,6
1214,16-17,33,SC Freiburg,FC Ingolstadt 04,1,1,1,1,11,23,108.13,107.01,366,307,231,199,135,108,0.63,0.65,0.54,0.46,0.48,0.52,18,27,27,17,3,3,4,3
1215,16-17,33,RB Leipzig,Bayern München,4,5,2,1,11,20,114.38,108.02,370,562,298,482,72,80,0.81,0.86,0.39,0.61,0.48,0.52,19,11,11,18,3,3,2,6
1216,16-17,34,Bayern München,SC Freiburg,4,1,1,0,33,19,112.71,118.99,611,314,533,230,78,84,0.87,0.73,0.66,0.34,0.54,0.46,10,10,10,10,2,4,15,7
1217,16-17,34,Borussia Dortmund,Werder Bremen,4,3,2,1,28,11,109.51,109.82,582,347,493,245,89,102,0.85,0.71,0.63,0.37,0.54,0.46,15,17,16,13,2,2,9,3
1218,16-17,34,Bor. Mönchengladbach,SV Darmstadt 98,2,2,0,0,18,14,116.63,118.52,681,389,592,315,89,74,0.87,0.81,0.63,0.37,0.56,0.44,6,8,8,6,1,3,5,3
1219,16-17,34,Hertha BSC,Bayer 04 Leverkusen,2,6,0,3,14,16,107.08,110.96,460,473,381,400,79,73,0.83,0.85,0.5,0.5,0.46,0.54,17,13,13,17,2,2,3,6
1220,16-17,34,1. FC Köln,1. FSV Mainz 05,2,0,1,0,16,5,109.01,109.1,366,421,266,328,100,93,0.73,0.78,0.46,0.54,0.57,0.43,13,17,17,12,1,2,7,5
1221,16-17,34,Hamburger SV,VfL Wolfsburg,2,1,1,1,6,12,109.59,107.9,343,344,211,198,132,146,0.62,0.58,0.49,0.51,0.53,0.47,12,18,16,12,2,1,2,8
1222,16-17,34,FC Ingolstadt 04,FC Schalke 04,1,1,1,1,18,9,114.12,108.17,422,418,315,312,107,106,0.75,0.75,0.51,0.49,0.56,0.44,9,11,11,7,0,3,6,6
1223,16-17,34,TSG Hoffenheim,FC Augsburg,0,0,0,0,19,8,115.92,115.57,745,231,649,141,96,90,0.87,0.61,0.75,0.25,0.55,0.45,10,13,12,10,1,1,5,4
1224,16-17,34,Eintracht Frankfurt,RB Leipzig,2,2,0,1,17,7,111.15,111.9,370,525,252,411,118,114,0.68,0.78,0.42,0.58,0.51,0.49,12,17,16,12,4,4,4,3
1225,17-18,1,Bayern München,Bayer 04 Leverkusen,3,1,2,0,13,19,109.83,113.47,501,489,430,423,71,66,0.86,0.87,0.51,0.49,0.58,0.42,13,17,16,11,5,1,4,5
1226,17-18,1,TSG Hoffenheim,Werder Bremen,1,0,0,0,14,11,116.37,113.24,618,349,536,263,82,86,0.87,0.75,0.64,0.36,0.42,0.58,17,15,14,16,3,2,6,4
1227,17-18,1,Hertha BSC,VfB Stuttgart,2,0,0,0,10,8,112.45,112.7,512,451,434,368,78,83,0.85,0.82,0.54,0.46,0.47,0.53,18,13,12,17,0,3,5,1
1228,17-18,1,Hamburger SV,FC Augsburg,1,0,1,0,11,14,115.34,114.85,278,469,177,366,101,103,0.64,0.78,0.36,0.64,0.42,0.58,18,16,14,18,0,1,3,7
1229,17-18,1,1. FSV Mainz 05,Hannover 96,0,1,0,0,14,6,111.86,116.69,517,320,430,225,87,95,0.83,0.7,0.62,0.38,0.49,0.51,18,14,13,18,3,0,13,1
1230,17-18,1,VfL Wolfsburg,Borussia Dortmund,0,3,0,2,7,13,113.46,114.23,263,649,139,520,124,129,0.53,0.8,0.29,0.71,0.55,0.45,7,15,14,7,7,0,3,5
1231,17-18,1,FC Schalke 04,RB Leipzig,2,0,1,0,11,12,114.72,115.89,322,583,224,470,98,113,0.7,0.81,0.36,0.64,0.48,0.52,22,18,16,21,4,5,4,5
1232,17-18,1,SC Freiburg,Eintracht Frankfurt,0,0,0,0,7,15,113.79,113.84,494,346,386,261,108,85,0.78,0.75,0.58,0.42,0.5,0.5,8,18,16,8,5,2,3,7
1233,17-18,1,Bor. Mönchengladbach,1. FC Köln,1,0,0,0,22,13,121.93,121.12,556,499,480,413,76,86,0.86,0.83,0.53,0.47,0.47,0.53,12,11,11,12,4,3,5,3
1234,17-18,2,1. FC Köln,Hamburger SV,1,3,0,2,20,13,119.12,119.43,560,229,469,137,91,92,0.84,0.6,0.71,0.29,0.51,0.49,9,9,9,9,6,3,6,7
1235,17-18,2,Werder Bremen,Bayern München,0,2,0,0,4,19,117.44,112.13,292,720,202,639,90,81,0.69,0.89,0.29,0.71,0.54,0.46,9,10,10,9,0,0,2,8
1236,17-18,2,Eintracht Frankfurt,VfL Wolfsburg,0,1,0,1,13,7,115.26,116.24,379,417,292,325,87,92,0.77,0.78,0.49,0.51,0.47,0.53,18,20,19,18,5,2,7,2
1237,17-18,2,Bayer 04 Leverkusen,TSG Hoffenheim,2,2,1,0,17,7,112.1,113.5,513,332,416,226,97,106,0.81,0.68,0.61,0.39,0.51,0.49,16,11,10,16,2,2,6,1
1238,17-18,2,FC Augsburg,Bor. Mönchengladbach,2,2,1,2,24,16,111.59,111.37,423,440,348,356,75,84,0.82,0.81,0.51,0.49,0.62,0.38,13,12,12,12,1,1,10,0
1239,17-18,2,VfB Stuttgart,1. FSV Mainz 05,1,0,0,0,17,13,110.15,110.98,439,391,359,308,80,83,0.82,0.79,0.52,0.48,0.55,0.45,12,18,18,12,1,2,5,6
1240,17-18,2,Borussia Dortmund,Hertha BSC,2,0,1,0,18,7,114.5,112.38,645,327,547,221,98,106,0.85,0.68,0.66,0.34,0.52,0.48,12,9,9,12,4,5,4,4
1241,17-18,2,RB Leipzig,SC Freiburg,4,1,0,1,29,7,112.83,113.71,581,286,482,185,99,101,0.83,0.65,0.67,0.33,0.6,0.4,11,13,12,11,1,1,8,2
1242,17-18,2,Hannover 96,FC Schalke 04,1,0,0,0,11,8,114.9,110.39,437,464,328,369,109,95,0.75,0.8,0.48,0.52,0.57,0.43,17,17,17,17,1,0,2,6
1243,17-18,3,Hamburger SV,RB Leipzig,0,2,0,0,9,20,111.48,112.92,235,505,129,400,106,105,0.55,0.79,0.31,0.69,0.41,0.59,14,11,11,14,2,2,4,14
1244,17-18,3,SC Freiburg,Borussia Dortmund,0,0,0,0,6,27,112.24,113.3,182,870,97,790,85,80,0.53,0.91,0.17,0.83,0.47,0.53,10,11,10,10,1,1,0,7
1245,17-18,3,Bor. Mönchengladbach,Eintracht Frankfurt,0,1,0,1,15,12,119.13,121.96,557,233,471,144,86,89,0.85,0.62,0.7,0.3,0.45,0.55,17,17,14,17,4,3,13,5
1246,17-18,3,FC Augsburg,1. FC Köln,3,0,2,0,10,13,119.62,115.83,265,537,158,437,107,100,0.6,0.81,0.34,0.66,0.48,0.52,15,13,13,14,0,1,6,9
1247,17-18,3,1. FSV Mainz 05,Bayer 04 Leverkusen,3,1,1,1,14,13,111.61,111.71,307,545,205,430,102,115,0.67,0.79,0.36,0.64,0.51,0.49,16,15,14,16,0,1,1,3
1248,17-18,3,VfL Wolfsburg,Hannover 96,1,1,0,0,17,7,116.35,118.4,429,436,328,319,101,117,0.76,0.73,0.49,0.51,0.51,0.49,13,20,19,13,1,2,3,1
1249,17-18,3,TSG Hoffenheim,Bayern München,2,0,1,0,6,23,121.9,112.99,271,655,169,578,102,77,0.62,0.88,0.28,0.72,0.43,0.57,15,9,9,15,2,3,2,4
1250,17-18,3,Hertha BSC,Werder Bremen,1,1,1,0,8,10,112.62,112.39,480,419,376,326,104,93,0.78,0.78,0.53,0.47,0.51,0.49,10,12,12,10,4,2,5,7
1251,17-18,3,FC Schalke 04,VfB Stuttgart,3,1,1,1,12,11,117.13,114.92,416,671,323,587,93,84,0.78,0.87,0.38,0.62,0.59,0.41,15,19,19,15,2,3,2,1
1252,17-18,4,Hannover 96,Hamburger SV,2,0,0,0,17,12,118.88,116.92,454,322,350,218,104,104,0.77,0.68,0.58,0.42,0.53,0.47,17,16,15,17,1,1,4,7
1253,17-18,4,Bayern München,1. FSV Mainz 05,4,0,2,0,28,11,112.48,116.17,738,239,669,165,69,74,0.91,0.69,0.75,0.25,0.5,0.5,10,5,5,9,0,1,10,5
1254,17-18,4,Werder Bremen,FC Schalke 04,1,2,1,1,18,11,114.51,112.44,455,434,348,345,107,89,0.76,0.79,0.52,0.48,0.53,0.47,14,17,17,14,1,2,6,5
1255,17-18,4,Eintracht Frankfurt,FC Augsburg,1,2,0,1,23,11,116.61,117.31,542,282,448,186,94,96,0.83,0.66,0.65,0.35,0.48,0.52,13,13,11,12,1,3,4,4
1256,17-18,4,VfB Stuttgart,VfL Wolfsburg,1,0,1,0,8,8,120.17,118.97,435,540,343,455,92,85,0.79,0.84,0.45,0.55,0.59,0.41,16,19,18,15,5,2,2,3
1257,17-18,4,RB Leipzig,Bor. Mönchengladbach,2,2,2,1,9,10,117.22,117.14,546,495,451,392,95,103,0.83,0.79,0.52,0.48,0.52,0.48,13,12,11,13,3,2,3,2
1258,17-18,4,TSG Hoffenheim,Hertha BSC,1,1,1,0,8,9,120.16,116.13,608,418,535,346,73,72,0.88,0.83,0.59,0.41,0.5,0.5,15,20,20,14,1,1,5,2
1259,17-18,4,Bayer 04 Leverkusen,SC Freiburg,4,0,3,0,22,4,119.82,118.61,634,349,541,242,93,107,0.85,0.69,0.65,0.35,0.47,0.53,4,13,12,4,4,0,5,4
1260,17-18,4,Borussia Dortmund,1. FC Köln,5,0,2,0,22,6,115.7,109.25,741,263,656,179,85,84,0.89,0.68,0.74,0.26,0.5,0.5,11,12,10,11,1,5,8,5
1261,17-18,5,Bor. Mönchengladbach,VfB Stuttgart,2,0,0,0,8,11,118.96,118.06,587,453,502,390,85,63,0.86,0.86,0.56,0.44,0.49,0.51,9,8,8,9,1,3,4,1
1262,17-18,5,FC Schalke 04,Bayern München,0,3,0,2,11,13,115.76,116.17,370,723,284,628,86,95,0.77,0.87,0.34,0.66,0.45,0.55,13,11,10,12,3,0,2,6
1263,17-18,5,FC Augsburg,RB Leipzig,1,0,1,0,11,14,117.64,118.85,316,675,199,557,117,118,0.63,0.83,0.32,0.68,0.49,0.51,15,17,16,14,5,2,3,2
1264,17-18,5,VfL Wolfsburg,Werder Bremen,1,1,1,0,13,11,119.42,119.41,634,370,522,256,112,114,0.82,0.69,0.62,0.38,0.6,0.4,10,18,18,10,2,3,3,4
1265,17-18,5,1. FC Köln,Eintracht Frankfurt,0,1,0,1,17,9,119.08,119.83,478,379,367,280,111,99,0.77,0.74,0.56,0.44,0.55,0.45,20,21,21,20,2,2,4,5
1266,17-18,5,Hertha BSC,Bayer 04 Leverkusen,2,1,2,0,5,12,123.83,125.25,366,637,260,544,106,93,0.71,0.85,0.36,0.64,0.51,0.49,12,24,23,11,1,0,3,6
1267,17-18,5,SC Freiburg,Hannover 96,1,1,0,0,22,14,118.56,118.24,397,394,307,290,90,104,0.77,0.74,0.5,0.5,0.49,0.51,17,19,19,17,3,1,5,3
1268,17-18,5,Hamburger SV,Borussia Dortmund,0,3,0,1,7,17,110.84,113.45,333,393,222,282,111,111,0.67,0.72,0.46,0.54,0.48,0.52,15,14,14,15,7,0,4,3
1269,17-18,5,1. FSV Mainz 05,TSG Hoffenheim,2,3,2,2,21,19,116.27,120.14,365,488,284,393,81,95,0.78,0.81,0.43,0.57,0.45,0.55,9,13,12,9,2,4,5,11
1270,17-18,6,Bayern München,VfL Wolfsburg,2,2,2,0,19,8,112.46,117.68,600,429,508,345,92,84,0.85,0.8,0.58,0.42,0.48,0.52,9,11,11,9,4,0,7,3
1271,17-18,6,RB Leipzig,Eintracht Frankfurt,2,1,1,0,16,8,117.51,118.48,575,317,465,206,110,111,0.81,0.65,0.64,0.36,0.51,0.49,9,17,17,9,4,4,2,4
1272,17-18,6,TSG Hoffenheim,FC Schalke 04,2,0,1,0,12,16,118.21,112.64,434,540,348,472,86,68,0.8,0.87,0.44,0.56,0.44,0.56,17,16,15,17,1,2,0,5
1273,17-18,6,Werder Bremen,SC Freiburg,0,0,0,0,17,13,111.61,116.11,463,400,353,292,110,108,0.76,0.73,0.54,0.46,0.52,0.48,16,9,9,15,5,1,4,5
1274,17-18,6,1. FSV Mainz 05,Hertha BSC,1,0,0,0,8,5,114.16,111.34,372,508,257,381,115,127,0.69,0.75,0.42,0.58,0.53,0.47,20,25,23,20,0,0,4,1
1275,17-18,6,VfB Stuttgart,FC Augsburg,0,0,0,0,14,9,113.36,111.64,596,334,481,220,115,114,0.81,0.66,0.64,0.36,0.54,0.46,8,15,14,7,0,1,5,3
1276,17-18,6,Borussia Dortmund,Bor. Mönchengladbach,6,1,3,0,18,8,114.63,113.7,924,247,850,168,74,79,0.92,0.68,0.79,0.21,0.6,0.4,3,6,6,2,5,1,7,0
1277,17-18,6,Hannover 96,1. FC Köln,0,0,0,0,14,6,108.28,105.15,479,249,393,163,86,86,0.82,0.65,0.66,0.34,0.55,0.45,17,18,17,17,1,0,6,7
1278,17-18,6,Bayer 04 Leverkusen,Hamburger SV,3,0,2,0,17,12,114.96,111.93,407,367,299,273,108,94,0.73,0.74,0.53,0.47,0.45,0.55,18,19,18,17,0,1,6,3
1279,17-18,7,FC Schalke 04,Bayer 04 Leverkusen,1,1,1,0,14,10,112.73,118.63,375,510,294,419,81,91,0.78,0.82,0.43,0.57,0.51,0.49,18,17,16,17,1,2,7,4
1280,17-18,7,Bor. Mönchengladbach,Hannover 96,2,1,0,0,23,15,116.57,119.62,467,372,371,263,96,109,0.79,0.71,0.56,0.44,0.58,0.42,12,14,14,12,4,1,8,7
