season,matchday,h_team,a_team,h_goals,a_goals,h_ht_goals,a_ht_goals,h_shots_on_goal,a_shots_on_goal,h_distance,a_distance,h_total_passes,a_total_passes,h_success_passes,a_success_passes,h_failed_passes,a_failed_passes,h_pass_ratio,a_pass_ratio,h_possesion,a_possesion,h_tackle_ratio,a_tackle_ratio,h_fouls,a_fouls,h_got_fouled,a_got_fouled,h_offside,a_offside,h_corners,a_corners
16-17,33,SC Freiburg ,FC Ingolstadt 04 ,1,1,1,1,11,23,"108,13 km","107,01 km",366,307,231,199,135,108,63%,65%,54%,46%,48%,52%,18,27,27,17,3,3,4,3
16-17,33,RB Leipzig ,Bayern München ,4,5,2,1,11,20,"114,38 km","108,02 km",370,562,298,482,72,80,81%,86%,39%,61%,48%,52%,19,11,11,18,3,3,2,6
16-17,34,Bayern München ,SC Freiburg ,4,1,1,0,33,19,"112,71 km","118,99 km",611,314,533,230,78,84,87%,73%,66%,34%,54%,46%,10,10,10,10,2,4,15,7
16-17,34,Borussia Dortmund ,Werder Bremen ,4,3,2,1,28,11,"109,51 km","109,82 km",582,347,493,245,89,102,85%,71%,63%,37%,54%,46%,15,17,16,13,2,2,9,3
16-17,34,Bor. Mönchengladbach ,SV Darmstadt 98 ,2,2,0,0,18,14,"116,63 km","118,52 km",681,389,592,315,89,74,87%,81%,63%,37%,56%,44%,6,8,8,6,1,3,5,3
16-17,34,Hertha BSC ,Bayer 04 Leverkusen ,2,6,0,3,14,16,"107,08 km","110,96 km",460,473,381,400,79,73,83%,85%,50%,50%,46%,54%,17,13,13,17,2,2,3,6
16-17,34,1. FC Köln ,1. FSV Mainz 05 ,2,0,1,0,16,5,"109,01 km","109,1 km",366,421,266,328,100,93,73%,78%,46%,54%,57%,43%,13,17,17,12,1,2,7,5
16-17,34,Hamburger SV ,VfL Wolfsburg ,2,1,1,1,6,12,"109,59 km","107,9 km",343,344,211,198,132,146,62%,58%,49%,51%,53%,47%,12,18,16,12,2,1,2,8
16-17,34,FC Ingolstadt 04 ,FC Schalke 04 ,1,1,1,1,18,9,"114,12 km","108,17 km",422,418,315,312,107,106,75%,75%,51%,49%,56%,44%,9,11,11,7,0,3,6,6
16-17,34,TSG Hoffenheim ,FC Augsburg ,0,0,0,0,19,8,"115,92 km","115,57 km",745,231,649,141,96,90,87%,61%,75%,25%,55%,45%,10,13,12,10,1,1,5,4
16-17,34,Eintracht Frankfurt ,RB Leipzig ,2,2,0,1,17,7,"111,15 km","111,9 km",370,525,252,411,118,114,68%,78%,42%,58%,51%,49%,12,17,16,12,4,4,4,3
17-18,1,Bayern München ,Bayer 04 Leverkusen ,3,1,2,0,13,19,"109,83 km","113,47 km",501,489,430,423,71,66,86%,87%,51%,49%,58%,42%,13,17,16,11,5,1,4,5
17-18,1,TSG Hoffenheim ,Werder Bremen ,1,0,0,0,14,11,"116,37 km","113,24 km",618,349,536,263,82,86,87%,75%,64%,36%,42%,58%,17,15,14,16,3,2,6,4
17-18,1,Hertha BSC ,VfB Stuttgart ,2,0,0,0,10,8,"112,45 km","112,7 km",512,451,434,368,78,83,85%,82%,54%,46%,47%,53%,18,13,12,17,0,3,5,1
17-18,1,Hamburger SV ,FC Augsburg ,1,0,1,0,11,14,"115,34 km","114,85 km",278,469,177,366,101,103,64%,78%,36%,64%,42%,58%,18,16,14,18,0,1,3,7
17-18,1,1. FSV Mainz 05 ,Hannover 96 ,0,1,0,0,14,6,"111,86 km","116,69 km",517,320,430,225,87,95,83%,70%,62%,38%,49%,51%,18,14,13,18,3,0,13,1
17-18,1,VfL Wolfsburg ,Borussia Dortmund ,0,3,0,2,7,13,"113,46 km","114,23 km",263,649,139,520,124,129,53%,80%,29%,71%,55%,45%,7,15,14,7,7,0,3,5
17-18,1,FC Schalke 04 ,RB Leipzig ,2,0,1,0,11,12,"114,72 km","115,89 km",322,583,224,470,98,113,70%,81%,36%,64%,48%,52%,22,18,16,21,4,5,4,5
17-18,1,SC Freiburg ,Eintracht Frankfurt ,0,0,0,0,7,15,"113,79 km","113,84 km",494,346,386,261,108,85,78%,75%,58%,42%,50%,50%,8,18,16,8,5,2,3,7
17-18,1,Bor. Mönchengladbach ,1. FC Köln ,1,0,0,0,22,13,"121,93 km","121,12 km",556,499,480,413,76,86,86%,83%,53%,47%,47%,53%,12,11,11,12,4,3,5,3
17-18,2,1. FC Köln ,Hamburger SV ,1,3,0,2,20,13,"119,12 km","119,43 km",560,229,469,137,91,92,84%,60%,71%,29%,51%,49%,9,9,9,9,6,3,6,7
17-18,2,Werder Bremen ,Bayern München ,0,2,0,0,4,19,"117,44 km","112,13 km",292,720,202,639,90,81,69%,89%,29%,71%,54%,46%,9,10,10,9,0,0,2,8
17-18,2,Eintracht Frankfurt ,VfL Wolfsburg ,0,1,0,1,13,7,"115,26 km","116,24 km",379,417,292,325,87,92,77%,78%,49%,51%,47%,53%,18,20,19,18,5,2,7,2
17-18,2,Bayer 04 Leverkusen ,TSG Hoffenheim ,2,2,1,0,17,7,"112,1 km","113,5 km",513,332,416,226,97,106,81%,68%,61%,39%,51%,49%,16,11,10,16,2,2,6,1
17-18,2,FC Augsburg ,Bor. Mönchengladbach ,2,2,1,2,24,16,"111,59 km","111,37 km",423,440,348,356,75,84,82%,81%,51%,49%,62%,38%,13,12,12,12,1,1,10,0
17-18,2,VfB Stuttgart ,1. FSV Mainz 05 ,1,0,0,0,17,13,"110,15 km","110,98 km",439,391,359,308,80,83,82%,79%,52%,48%,55%,45%,12,18,18,12,1,2,5,6
17-18,2,Borussia Dortmund ,Hertha BSC ,2,0,1,0,18,7,"114,5 km","112,38 km",645,327,547,221,98,106,85%,68%,66%,34%,52%,48%,12,9,9,12,4,5,4,4
17-18,2,RB Leipzig ,SC Freiburg ,4,1,0,1,29,7,"112,83 km","113,71 km",581,286,482,185,99,101,83%,65%,67%,33%,60%,40%,11,13,12,11,1,1,8,2
17-18,2,Hannover 96 ,FC Schalke 04 ,1,0,0,0,11,8,"114,9 km","110,39 km",437,464,328,369,109,95,75%,80%,48%,52%,57%,43%,17,17,17,17,1,0,2,6
17-18,3,Hamburger SV ,RB Leipzig ,0,2,0,0,9,20,"111,48 km","112,92 km",235,505,129,400,106,105,55%,79%,31%,69%,41%,59%,14,11,11,14,2,2,4,14
17-18,3,SC Freiburg ,Borussia Dortmund ,0,0,0,0,6,27,"112,24 km","113,3 km",182,870,97,790,85,80,53%,91%,17%,83%,47%,53%,10,11,10,10,1,1,0,7
17-18,3,Bor. Mönchengladbach ,Eintracht Frankfurt ,0,1,0,1,15,12,"119,13 km","121,96 km",557,233,471,144,86,89,85%,62%,70%,30%,45%,55%,17,17,14,17,4,3,13,5
17-18,3,FC Augsburg ,1. FC Köln ,3,0,2,0,10,13,"119,62 km","115,83 km",265,537,158,437,107,100,60%,81%,34%,66%,48%,52%,15,13,13,14,0,1,6,9
17-18,3,1. FSV Mainz 05 ,Bayer 04 Leverkusen ,3,1,1,1,14,13,"111,61 km","111,71 km",307,545,205,430,102,115,67%,79%,36%,64%,51%,49%,16,15,14,16,0,1,1,3
17-18,3,VfL Wolfsburg ,Hannover 96 ,1,1,0,0,17,7,"116,35 km","118,4 km",429,436,328,319,101,117,76%,73%,49%,51%,51%,49%,13,20,19,13,1,2,3,1
17-18,3,TSG Hoffenheim ,Bayern München ,2,0,1,0,6,23,"121,9 km","112,99 km",271,655,169,578,102,77,62%,88%,28%,72%,43%,57%,15,9,9,15,2,3,2,4
17-18,3,Hertha BSC ,Werder Bremen ,1,1,1,0,8,10,"112,62 km","112,39 km",480,419,376,326,104,93,78%,78%,53%,47%,51%,49%,10,12,12,10,4,2,5,7
17-18,3,FC Schalke 04 ,VfB Stuttgart ,3,1,1,1,12,11,"117,13 km","114,92 km",416,671,323,587,93,84,78%,87%,38%,62%,59%,41%,15,19,19,15,2,3,2,1
17-18,4,Hannover 96 ,Hamburger SV ,2,0,0,0,17,12,"118,88 km","116,92 km",454,322,350,218,104,104,77%,68%,58%,42%,53%,47%,17,16,15,17,1,1,4,7
17-18,4,Bayern München ,1. FSV Mainz 05 ,4,0,2,0,28,11,"112,48 km","116,17 km",738,239,669,165,69,74,91%,69%,75%,25%,50%,50%,10,5,5,9,0,1,10,5
17-18,4,Werder Bremen ,FC Schalke 04 ,1,2,1,1,18,11,"114,51 km","112,44 km",455,434,348,345,107,89,76%,79%,52%,48%,53%,47%,14,17,17,14,1,2,6,5
17-18,4,Eintracht Frankfurt ,FC Augsburg ,1,2,0,1,23,11,"116,61 km","117,31 km",542,282,448,186,94,96,83%,66%,65%,35%,48%,52%,13,13,11,12,1,3,4,4
17-18,4,VfB Stuttgart ,VfL Wolfsburg ,1,0,1,0,8,8,"120,17 km","118,97 km",435,540,343,455,92,85,79%,84%,45%,55%,59%,41%,16,19,18,15,5,2,2,3
17-18,4,RB Leipzig ,Bor. Mönchengladbach ,2,2,2,1,9,10,"117,22 km","117,14 km",546,495,451,392,95,103,83%,79%,52%,48%,52%,48%,13,12,11,13,3,2,3,2
17-18,4,TSG Hoffenheim ,Hertha BSC ,1,1,1,0,8,9,"120,16 km","116,13 km",608,418,535,346,73,72,88%,83%,59%,41%,50%,50%,15,20,20,14,1,1,5,2
17-18,4,Bayer 04 Leverkusen ,SC Freiburg ,4,0,3,0,22,4,"119,82 km","118,61 km",634,349,541,242,93,107,85%,69%,65%,35%,47%,53%,4,13,12,4,4,0,5,4
17-18,4,Borussia Dortmund ,1. FC Köln ,5,0,2,0,22,6,"115,7 km","109,25 km",741,263,656,179,85,84,89%,68%,74%,26%,50%,50%,11,12,10,11,1,5,8,5
17-18,5,Bor. Mönchengladbach ,VfB Stuttgart ,2,0,0,0,8,11,"118,96 km","118,06 km",587,453,502,390,85,63,86%,86%,56%,44%,49%,51%,9,8,8,9,1,3,4,1
17-18,5,FC Schalke 04 ,Bayern München ,0,3,0,2,11,13,"115,76 km","116,17 km",370,723,284,628,86,95,77%,87%,34%,66%,45%,55%,13,11,10,12,3,0,2,6
17-18,5,FC Augsburg ,RB Leipzig ,1,0,1,0,11,14,"117,64 km","118,85 km",316,675,199,557,117,118,63%,83%,32%,68%,49%,51%,15,17,16,14,5,2,3,2
17-18,5,VfL Wolfsburg ,Werder Bremen ,1,1,1,0,13,11,"119,42 km","119,41 km",634,370,522,256,112,114,82%,69%,62%,38%,60%,40%,10,18,18,10,2,3,3,4
17-18,5,1. FC Köln ,Eintracht Frankfurt ,0,1,0,1,17,9,"119,08 km","119,83 km",478,379,367,280,111,99,77%,74%,56%,44%,55%,45%,20,21,21,20,2,2,4,5
17-18,5,Hertha BSC ,Bayer 04 Leverkusen ,2,1,2,0,5,12,"123,83 km","125,25 km",366,637,260,544,106,93,71%,85%,36%,64%,51%,49%,12,24,23,11,1,0,3,6
17-18,5,SC Freiburg ,Hannover 96 ,1,1,0,0,22,14,"118,56 km","118,24 km",397,394,307,290,90,104,77%,74%,50%,50%,49%,51%,17,19,19,17,3,1,5,3
17-18,5,Hamburger SV ,Borussia Dortmund ,0,3,0,1,7,17,"110,84 km","113,45 km",333,393,222,282,111,111,67%,72%,46%,54%,48%,52%,15,14,14,15,7,0,4,3
17-18,5,1. FSV Mainz 05 ,TSG Hoffenheim ,2,3,2,2,21,19,"116,27 km","120,14 km",365,488,284,393,81,95,78%,81%,43%,57%,45%,55%,9,13,12,9,2,4,5,11
17-18,6,Bayern München ,VfL Wolfsburg ,2,2,2,0,19,8,"112,46 km","117,68 km",600,429,508,345,92,84,85%,80%,58%,42%,48%,52%,9,11,11,9,4,0,7,3
17-18,6,RB Leipzig ,Eintracht Frankfurt ,2,1,1,0,16,8,"117,51 km","118,48 km",575,317,465,206,110,111,81%,65%,64%,36%,51%,49%,9,17,17,9,4,4,2,4
17-18,6,TSG Hoffenheim ,FC Schalke 04 ,2,0,1,0,12,16,"118,21 km","112,64 km",434,540,348,472,86,68,80%,87%,44%,56%,44%,56%,17,16,15,17,1,2,0,5
17-18,6,Werder Bremen ,SC Freiburg ,0,0,0,0,17,13,"111,61 km","116,11 km",463,400,353,292,110,108,76%,73%,54%,46%,52%,48%,16,9,9,15,5,1,4,5
17-18,6,1. FSV Mainz 05 ,Hertha BSC ,1,0,0,0,8,5,"114,16 km","111,34 km",372,508,257,381,115,127,69%,75%,42%,58%,53%,47%,20,25,23,20,0,0,4,1
17-18,6,VfB Stuttgart ,FC Augsburg ,0,0,0,0,14,9,"113,36 km","111,64 km",596,334,481,220,115,114,81%,66%,64%,36%,54%,46%,8,15,14,7,0,1,5,3
17-18,6,Borussia Dortmund ,Bor. Mönchengladbach ,6,1,3,0,18,8,"114,63 km","113,7 km",924,247,850,168,74,79,92%,68%,79%,21%,60%,40%,3,6,6,2,5,1,7,0
17-18,6,Hannover 96 ,1. FC Köln ,0,0,0,0,14,6,"108,28 km","105,15 km",479,249,393,163,86,86,82%,65%,66%,34%,55%,45%,17,18,17,17,1,0,6,7
17-18,6,Bayer 04 Leverkusen ,Hamburger SV ,3,0,2,0,17,12,"114,96 km","111,93 km",407,367,299,273,108,94,73%,74%,53%,47%,45%,55%,18,19,18,17,0,1,6,3
17-18,7,FC Schalke 04 ,Bayer 04 Leverkusen ,1,1,1,0,14,10,"112,73 km","118,63 km",375,510,294,419,81,91,78%,82%,43%,57%,51%,49%,18,17,16,17,1,2,7,4
17-18,7,Bor. Mönchengladbach ,Hannover 96 ,2,1,0,0,23,15,"116,57 km","119,62 km",467,372,371,263,96,109,79%,71%,56%,44%,58%,42%,12,14,14,12,4,1,8,7
17-18,7,Eintracht Frankfurt ,VfB Stuttgart ,2,1,1,0,10,13,"111,91 km","112,29 km",377,501,275,411,102,90,73%,82%,43%,57%,49%,51%,10,17,17,10,1,2,3,6
17-18,7,FC Augsburg ,Borussia Dortmund ,1,2,1,2,10,14,"115,1 km","117,89 km",288,476,174,356,114,120,60%,75%,39%,61%,47%,53%,23,12,12,23,5,1,5,5
17-18,7,VfL Wolfsburg ,1. FSV Mainz 05 ,1,1,0,0,6,10,"114,72 km","114,58 km",476,427,374,338,102,89,79%,79%,53%,47%,58%,42%,9,21,19,8,0,1,5,6
17-18,7,Hamburger SV ,Werder Bremen ,0,0,0,0,17,9,"108,37 km","104,68 km",400,322,293,217,107,105,73%,67%,55%,45%,49%,51%,14,28,28,13,0,3,6,7
17-18,7,SC Freiburg ,TSG Hoffenheim ,3,2,2,1,15,15,"119,24 km","118,85 km",347,457,277,388,70,69,80%,85%,43%,57%,48%,52%,13,17,17,13,3,1,9,7
17-18,7,Hertha BSC ,Bayern München ,2,2,0,1,10,17,"119,26 km","114,28 km",308,625,213,541,95,84,69%,87%,33%,67%,46%,54%,14,12,11,14,1,2,1,9
17-18,7,1. FC Köln ,RB Leipzig ,1,2,0,1,17,23,"114,33 km","117,38 km",399,444,296,353,103,91,74%,80%,48%,52%,55%,45%,11,13,13,9,6,4,9,7
17-18,8,VfB Stuttgart ,1. FC Köln ,2,1,1,0,22,17,"119,81 km","115,23 km",369,464,270,355,99,109,73%,77%,45%,55%,52%,48%,13,13,13,12,0,0,5,4
17-18,8,Bayern München ,SC Freiburg ,5,0,2,0,24,6,"113,32 km",121 km,725,347,658,259,67,88,91%,75%,68%,32%,57%,43%,5,7,7,5,2,0,9,1
17-18,8,TSG Hoffenheim ,FC Augsburg ,2,2,0,0,23,12,"115,27 km","110,56 km",442,363,365,281,77,82,83%,77%,55%,45%,51%,49%,6,11,11,5,2,2,6,3
17-18,8,Hertha BSC ,FC Schalke 04 ,0,2,0,0,2,11,"108,52 km","113,31 km",379,606,294,523,85,83,78%,86%,38%,62%,54%,46%,12,20,20,12,1,1,1,5
17-18,8,1. FSV Mainz 05 ,Hamburger SV ,3,2,1,1,14,9,"111,58 km","113,5 km",335,387,232,278,103,109,69%,72%,47%,53%,50%,50%,16,18,18,15,4,0,4,2
17-18,8,Hannover 96 ,Eintracht Frankfurt ,1,2,1,1,10,12,"112,46 km","107,18 km",365,327,256,230,109,97,70%,70%,53%,47%,53%,47%,17,19,17,15,3,4,6,6
17-18,8,Borussia Dortmund ,RB Leipzig ,2,3,1,2,15,7,"113,52 km","115,2 km",599,312,493,216,106,96,82%,69%,66%,34%,42%,58%,16,20,19,16,7,5,3,2
17-18,8,Bayer 04 Leverkusen ,VfL Wolfsburg ,2,2,1,1,17,11,"116,35 km","113,9 km",425,370,335,274,90,96,79%,74%,54%,46%,52%,48%,16,13,13,16,2,2,11,2
17-18,8,Werder Bremen ,Bor. Mönchengladbach ,0,2,0,2,19,16,"116,15 km","117,28 km",453,571,360,479,93,92,79%,84%,45%,55%,47%,53%,11,10,10,10,2,1,5,5
17-18,9,FC Schalke 04 ,1. FSV Mainz 05 ,2,0,1,0,16,5,"116,9 km","112,69 km",517,358,423,267,94,91,82%,75%,60%,40%,51%,49%,18,15,15,16,0,3,5,1
17-18,9,RB Leipzig ,VfB Stuttgart ,1,0,1,0,15,11,"117,23 km","115,64 km",549,388,446,270,103,118,81%,70%,58%,42%,54%,46%,10,18,18,10,2,6,3,5
17-18,9,Bor. Mönchengladbach ,Bayer 04 Leverkusen ,1,5,1,0,18,12,"106,18 km","117,05 km",549,397,471,315,78,82,86%,79%,58%,42%,53%,47%,11,11,11,11,2,0,4,4
17-18,9,Eintracht Frankfurt ,Borussia Dortmund ,2,2,0,1,14,20,"113,22 km","114,77 km",281,478,182,373,99,105,65%,78%,38%,62%,44%,56%,14,11,10,14,5,4,4,4
17-18,9,FC Augsburg ,Hannover 96 ,1,2,1,0,15,12,"114,22 km","117,94 km",341,360,224,238,117,122,66%,66%,50%,50%,49%,51%,13,12,10,12,2,0,11,2
17-18,9,Hamburger SV ,Bayern München ,0,1,0,0,6,21,"111,58 km","109,54 km",229,720,136,626,93,94,59%,87%,25%,75%,44%,56%,9,9,9,9,1,3,7,7
17-18,9,1. FC Köln ,Werder Bremen ,0,0,0,0,19,13,"114,68 km","116,36 km",389,433,268,330,121,103,69%,76%,47%,53%,55%,45%,18,20,20,17,2,2,3,6
17-18,9,SC Freiburg ,Hertha BSC ,1,1,0,0,20,12,"113,77 km","111,79 km",499,366,436,293,63,73,87%,80%,57%,43%,46%,54%,21,15,14,21,2,1,6,1
17-18,9,VfL Wolfsburg ,TSG Hoffenheim ,1,1,0,0,15,14,"118,18 km","118,25 km",455,404,397,331,58,73,87%,82%,54%,46%,56%,44%,12,24,24,12,4,0,8,4
17-18,10,1. FSV Mainz 05 ,Eintracht Frankfurt ,1,1,0,1,6,8,"113,13 km","115,23 km",372,356,244,236,128,120,66%,66%,52%,48%,47%,53%,14,22,22,14,9,2,5,5
17-18,10,TSG Hoffenheim ,Bor. Mönchengladbach ,1,3,1,0,16,16,120 km,"118,43 km",490,414,414,327,76,87,84%,79%,54%,46%,51%,49%,16,13,13,14,1,2,5,5
17-18,10,Hertha BSC ,Hamburger SV ,2,1,1,0,8,11,"113,52 km","115,41 km",385,406,270,295,115,111,70%,73%,48%,52%,52%,48%,14,13,13,14,1,3,9,11
17-18,10,FC Schalke 04 ,VfL Wolfsburg ,1,1,1,0,14,7,"119,42 km","118,81 km",426,488,339,395,87,93,80%,81%,47%,53%,48%,52%,18,13,13,17,3,2,4,2
17-18,10,Bayer 04 Leverkusen ,1. FC Köln ,2,1,0,1,17,9,"120,83 km","116,47 km",602,273,523,172,79,101,87%,63%,68%,32%,49%,51%,16,13,13,14,1,0,8,10
17-18,10,Hannover 96 ,Borussia Dortmund ,4,2,2,1,13,9,"114,19 km","108,05 km",251,498,141,372,110,126,56%,75%,34%,66%,45%,55%,17,10,10,17,9,1,5,6
17-18,10,Bayern München ,RB Leipzig ,2,0,2,0,23,3,"104,97 km","99,9 km",750,285,686,209,64,76,91%,73%,72%,28%,53%,47%,7,9,9,7,5,0,11,1
17-18,10,Werder Bremen ,FC Augsburg ,0,3,0,2,17,17,"109,63 km","113,36 km",531,329,437,246,94,83,82%,75%,61%,39%,50%,50%,15,12,11,15,1,2,7,3
17-18,10,VfB Stuttgart ,SC Freiburg ,3,0,2,0,18,6,"115,13 km","109,88 km",692,290,625,222,67,68,90%,77%,71%,29%,45%,55%,14,11,10,13,5,1,6,0
17-18,11,Eintracht Frankfurt ,Werder Bremen ,2,1,1,1,16,12,"117,95 km","119,22 km",407,439,303,320,104,119,74%,73%,48%,52%,55%,45%,11,13,13,11,4,3,7,8
17-18,11,RB Leipzig ,Hannover 96 ,2,1,0,0,18,11,"114,28 km","115,06 km",569,371,435,253,134,118,76%,68%,60%,40%,47%,53%,13,16,16,11,4,4,2,3
17-18,11,SC Freiburg ,FC Schalke 04 ,0,1,0,0,13,9,"119,13 km","117,76 km",476,454,372,371,104,83,78%,82%,52%,48%,50%,50%,14,12,12,14,0,0,6,1
17-18,11,Bor. Mönchengladbach ,1. FSV Mainz 05 ,1,1,0,1,9,20,"118,13 km","119,45 km",593,346,493,277,100,69,83%,80%,62%,38%,59%,41%,5,14,14,5,2,1,9,9
17-18,11,FC Augsburg ,Bayer 04 Leverkusen ,1,1,0,0,13,10,"112,02 km","114,29 km",321,513,237,408,84,105,74%,80%,40%,60%,49%,51%,14,14,14,14,3,0,6,3
17-18,11,Hamburger SV ,VfB Stuttgart ,3,1,1,0,20,3,"113,81 km","105,79 km",624,225,542,136,82,89,87%,60%,74%,26%,48%,52%,15,11,10,14,1,0,11,3
17-18,11,Borussia Dortmund ,Bayern München ,1,3,0,2,15,10,"111,94 km","109,75 km",495,496,418,417,77,79,84%,84%,50%,50%,56%,44%,12,16,16,12,2,4,4,3
17-18,11,1. FC Köln ,TSG Hoffenheim ,0,3,0,1,12,22,"112,88 km","120,1 km",323,574,257,509,66,65,80%,89%,37%,63%,53%,47%,16,15,14,16,2,4,7,6
17-18,11,VfL Wolfsburg ,Hertha BSC ,3,3,2,1,20,10,"113,58 km","114,8 km",526,375,451,276,75,99,86%,74%,59%,41%,50%,50%,14,19,19,14,3,0,4,2
17-18,12,VfB Stuttgart ,Borussia Dortmund ,2,1,1,1,9,13,"119,79 km","118,36 km",294,500,188,406,106,94,64%,81%,37%,63%,48%,52%,17,14,12,16,5,2,5,4
17-18,12,Bayern München ,FC Augsburg ,3,0,2,0,17,8,"106,87 km","108,32 km",732,251,642,161,90,90,88%,64%,74%,26%,53%,47%,13,16,16,13,0,1,6,3
17-18,12,TSG Hoffenheim ,Eintracht Frankfurt ,1,1,0,1,13,5,"120,93 km","119,53 km",660,292,567,193,93,99,86%,66%,69%,31%,54%,46%,16,22,20,14,3,5,4,3
17-18,12,Bayer 04 Leverkusen ,RB Leipzig ,2,2,1,1,13,12,"111,23 km","114,7 km",416,433,322,356,94,77,77%,82%,50%,50%,48%,52%,17,16,14,15,5,1,3,1
17-18,12,1. FSV Mainz 05 ,1. FC Köln ,1,0,1,0,12,11,"117,47 km","116,34 km",470,477,361,371,109,106,77%,78%,49%,51%,48%,52%,15,15,15,13,1,1,0,3
17-18,12,VfL Wolfsburg ,SC Freiburg ,3,1,2,0,15,12,"123,61 km","128,82 km",496,523,388,423,108,100,78%,81%,48%,52%,55%,45%,8,11,9,8,2,4,1,3
17-18,12,Hertha BSC ,Bor. Mönchengladbach ,2,4,1,3,15,8,"115,36 km","118,97 km",606,428,534,344,72,84,88%,80%,59%,41%,50%,50%,17,12,12,15,3,3,8,2
17-18,12,FC Schalke 04 ,Hamburger SV ,2,0,1,0,12,7,"116,58 km","118,21 km",423,443,334,339,89,104,79%,77%,49%,51%,52%,48%,17,19,18,16,2,1,7,6
17-18,12,Werder Bremen ,Hannover 96 ,4,0,1,0,16,13,"117,61 km","115,51 km",472,467,370,377,102,90,78%,81%,51%,49%,49%,51%,15,17,17,14,0,1,3,2
17-18,13,Hannover 96 ,VfB Stuttgart ,1,1,0,1,15,13,117 km,"113,86 km",388,446,276,316,112,130,71%,71%,47%,53%,48%,52%,14,16,16,14,2,2,4,5
17-18,13,Borussia Dortmund ,FC Schalke 04 ,4,4,4,0,11,12,"115,72 km","117,25 km",382,417,283,330,99,87,74%,79%,47%,53%,44%,56%,18,20,19,18,1,2,3,5
17-18,13,RB Leipzig ,Werder Bremen ,2,0,1,0,15,9,"120,66 km","121,68 km",530,458,433,347,97,111,82%,76%,53%,47%,53%,47%,9,11,11,9,5,1,8,8
17-18,13,SC Freiburg ,1. FSV Mainz 05 ,2,1,0,0,16,17,"120,08 km","116,2 km",417,471,308,358,109,113,74%,76%,46%,54%,48%,52%,15,18,16,15,1,2,2,5
17-18,13,Eintracht Frankfurt ,Bayer 04 Leverkusen ,0,1,0,0,14,13,"118,01 km","118,21 km",442,452,343,369,99,83,78%,82%,50%,50%,49%,51%,20,15,14,18,0,2,9,2
17-18,13,FC Augsburg ,VfL Wolfsburg ,2,1,0,1,23,4,"115,29 km","107,74 km",430,341,373,262,57,79,87%,77%,57%,43%,48%,52%,10,12,12,6,3,2,6,1
17-18,13,Bor. Mönchengladbach ,Bayern München ,2,1,2,0,7,26,"123,49 km","119,11 km",286,703,198,622,88,81,69%,88%,28%,72%,48%,52%,13,10,9,12,1,0,2,5
17-18,13,Hamburger SV ,TSG Hoffenheim ,3,0,1,0,19,13,"113,15 km","112,91 km",280,434,182,323,98,111,65%,74%,40%,60%,48%,52%,17,23,22,17,3,0,7,8
17-18,13,1. FC Köln ,Hertha BSC ,0,2,0,1,15,11,"113,31 km","117,76 km",551,457,460,360,91,97,83%,79%,54%,46%,46%,54%,15,8,8,15,3,1,3,4
17-18,14,SC Freiburg ,Hamburger SV ,0,0,0,0,21,9,"113,96 km","113,23 km",442,320,313,195,129,125,71%,61%,58%,42%,50%,50%,13,20,20,13,1,1,7,5
17-18,14,Bayern München ,Hannover 96 ,3,1,1,1,29,8,"116,83 km","123,15 km",666,293,595,210,71,83,89%,72%,70%,30%,53%,47%,12,8,8,12,5,0,9,3
17-18,14,TSG Hoffenheim ,RB Leipzig ,4,0,1,0,10,11,"120,27 km","114,25 km",350,637,244,525,106,112,70%,82%,35%,65%,38%,62%,15,10,10,15,4,2,0,7
17-18,14,Werder Bremen ,VfB Stuttgart ,1,0,1,0,15,13,"125,46 km","117,95 km",410,565,295,456,115,109,72%,81%,42%,58%,59%,41%,14,19,18,13,2,3,5,8
17-18,14,Bayer 04 Leverkusen ,Borussia Dortmund ,1,1,1,0,15,9,"116,35 km","117,04 km",270,744,189,658,81,86,70%,88%,27%,73%,61%,39%,9,19,19,8,6,2,7,4
17-18,14,1. FSV Mainz 05 ,FC Augsburg ,1,3,0,2,16,10,"111,47 km","112,93 km",438,301,331,195,107,106,76%,65%,59%,41%,50%,50%,18,16,14,17,0,1,4,3
17-18,14,FC Schalke 04 ,1. FC Köln ,2,2,1,0,23,7,"116,84 km","112,7 km",494,278,411,183,83,95,83%,66%,64%,36%,56%,44%,16,20,18,14,3,1,7,4
17-18,14,Hertha BSC ,Eintracht Frankfurt ,1,2,1,1,15,7,"112,51 km","115,41 km",471,389,352,296,119,93,75%,76%,55%,45%,56%,44%,15,13,13,15,0,1,4,2
17-18,14,VfL Wolfsburg ,Bor. Mönchengladbach ,3,0,2,0,13,17,"120,39 km","115,23 km",406,560,334,495,72,65,82%,88%,42%,58%,53%,47%,7,15,15,7,1,5,6,5
17-18,15,VfB Stuttgart ,Bayer 04 Leverkusen ,0,2,0,1,9,18,"118,16 km","125,34 km",566,393,455,300,111,93,80%,76%,59%,41%,49%,51%,13,12,12,12,2,0,8,5
17-18,15,Borussia Dortmund ,Werder Bremen ,1,2,0,1,12,9,"120,25 km","125,55 km",725,358,610,240,115,118,84%,67%,67%,33%,49%,51%,8,6,6,8,1,2,4,2
17-18,15,RB Leipzig ,1. FSV Mainz 05 ,2,2,2,1,12,13,"120,36 km","117,14 km",555,330,432,216,123,114,78%,65%,62%,38%,48%,52%,18,17,17,16,1,3,6,4
